A programming language APL,ABC Compiler,ABC: the AspectBench Compiler for AspectJ,Ada,Adobe Systems Adobe Acrobat,Adobe Systems Adobe ActionScript,Adobe Systems Adobe ColdFusion,Adobe Systems Adobe Dreamweaver,Adobe Systems Adobe Fireworks,Adobe Systems Adobe Flash,Adobe Systems Adobe Flex,Adobe Systems Adobe Illustrator,Adobe Systems Adobe Photoshop,Adobe Systems Adobe PostScript,Advanced business application programming ABAP,AJAX,Algorithmic language ALGOL,Amazon Kinesis,American National Standards Institute ANSI C,Ansible software,Apache Ant,Apache Cassandra,Apache Groovy,Apache Hadoop,Apache Hive,Apache HTTP Server,Apache Kafka,Apache Maven,Apache Pig,Apache Solr,Apache Spark,Apache Struts,Apache Subversion SVN,Apache Tomcat,Assembler,Atlassian Bamboo,Atlassian JIRA,AWK,AWS Redshift,B-Method,Backbone.js,Bash,Basis BBx VisualPRO/5,Beginner's all-purpose symbolic instruction code BASIC,Bentley MicroStation,Bigloo Scheme,Bourne Shell,C,C#,C++,CA Erwin Data Modeler,Call-processing language CPL,Cascading Style Sheets CSS,CAST SQL Builder,Chef,Citrix,Clipper,Code generator software,Code munger software,CoffeeCup The HTML Editor,Collaborative Application Markup Language CAML,Command interpreters,Common business oriented language COBOL,Common Lisp Object System CLOS,Compilers,Computer aided design and drafting CADD software,Computer Associates integrated data management system CA-IDMS,Computer On-line Real-time Applications Language CORAL 66,Confluence,Corel CorelDraw Graphics Suite,Customer information control system CICS,Dassault Systemes CATIA,Data definition language DDL,Data entry software,Data manipulation language DML,dBASE Plus,Debugging software,Decompilers,Delphi Technology,Django,Docker,Drupal,Dynamic hypertext markup language DHTML,E++ pattern language,Eclipse IDE,Eiffel,Elasticsearch,Embarcadero Delphi,Emerald Software Group Emerald Green Office,Enterprise JavaBeans,Epic Systems,ESRI ArcGIS software,Event-driven State-machines Programming,Ext JS,Extensible HyperText Markup Language XHTML,Extensible markup language XML,Extensible stylesheet language XSL,FileMaker Pro,Formula translation/translator FORTRAN,Forth
4,4,3,1,3,4,5,1,3,5,5,1,4,1,0,4,3,0,4,0,1,1,4,4,4,2,5,5,2,1,3,1,3,4,3,3,2,2,0,4,5,3,0,2,3,2,4,1,2,1,0,4,0,1,5,4,2,3,2,2,0,4,5,1,0,1,2,1,0,1,3,4,0,1,5,4,4,1,1,0,4,0,5,5,0,5,2,1,5,1,2,4,1,3,5,2,3,2,3,5
4,3,3,0,5,1,1,1,1,0,0,1,1,1,2,1,1,3,1,5,4,4,2,4,2,5,0,1,4,3,1,4,3,4,3,3,3,1,0,5,4,5,4,2,3,3,5,1,3,0,1,5,4,4,4,1,0,5,2,4,2,2,1,2,5,1,1,2,4,4,1,3,5,4,5,4,0,1,1,2,1,2,0,5,5,2,5,2,1,0,0,5,5,3,4,5,3,3,3,0
0,3,2,1,1,4,5,4,0,0,5,3,0,1,5,2,0,1,1,1,0,2,5,2,2,1,3,4,3,4,3,5,0,1,2,5,0,2,0,0,0,4,4,5,2,5,0,1,1,0,1,5,4,5,2,4,4,3,4,1,0,0,3,2,3,0,5,4,5,0,0,1,1,4,0,1,2,3,3,3,3,1,0,2,1,4,4,0,4,0,0,3,2,3,0,3,3,3,4,5
3,0,3,2,0,2,3,5,4,1,5,3,0,1,3,5,5,4,3,1,1,0,5,3,5,4,4,2,0,1,0,1,5,3,3,0,2,1,1,2,0,2,0,2,4,4,3,2,2,4,0,2,3,0,0,3,2,2,2,4,3,4,4,2,0,4,3,2,1,3,2,4,5,0,3,0,3,2,0,2,3,4,1,5,1,4,0,4,1,1,3,3,5,4,0,4,1,2,1,1
3,5,0,4,4,5,1,5,0,1,0,2,3,1,2,4,2,3,2,0,3,0,2,3,4,0,0,4,0,2,2,0,0,5,4,3,4,3,4,0,5,0,4,0,2,4,3,2,2,4,5,0,3,2,0,4,1,2,2,1,0,3,4,4,2,2,4,4,2,1,4,5,1,4,1,0,4,3,2,4,0,5,4,5,4,3,4,0,0,2,2,5,4,0,5,4,3,4,0,4
0,2,0,3,3,4,0,2,4,4,5,2,0,3,3,4,5,1,5,3,0,2,5,1,3,3,5,0,2,3,4,1,2,1,1,1,2,4,5,4,3,5,1,1,4,0,1,2,1,3,4,2,5,1,5,1,1,3,3,0,4,0,2,2,2,3,4,3,0,5,3,5,1,5,3,0,0,5,5,0,4,3,4,4,0,2,5,5,1,0,5,1,3,5,5,4,2,3,5,4
3,3,4,2,0,1,3,4,2,3,1,5,2,0,5,0,0,5,3,1,2,2,3,0,4,2,2,3,1,4,4,3,3,2,5,5,5,5,0,0,3,4,5,0,5,5,1,2,0,3,1,2,0,0,4,2,2,3,4,0,2,0,0,1,2,2,0,4,4,1,1,5,0,2,1,4,3,3,5,2,0,3,0,4,1,2,1,2,4,1,4,5,2,4,4,0,5,3,2,0
3,5,4,1,4,5,0,4,2,1,4,5,1,4,5,2,1,4,0,1,1,2,3,5,2,1,3,1,1,5,4,2,2,4,2,0,0,3,1,2,4,1,0,5,2,4,4,1,3,3,3,2,1,4,1,5,4,5,0,5,1,3,5,3,0,5,2,2,0,4,4,2,2,1,2,3,2,4,4,5,3,5,2,3,0,0,0,5,4,2,2,2,2,3,5,4,2,5,5,0
5,4,5,2,3,2,1,0,3,3,5,2,0,1,4,4,2,3,3,3,0,4,3,3,3,0,1,1,5,1,1,5,0,2,1,5,1,3,2,4,0,4,3,2,3,2,3,4,0,4,3,5,5,0,4,0,1,1,3,3,1,4,5,5,3,3,2,4,3,3,3,5,2,2,3,3,0,4,2,2,5,5,2,1,0,3,5,1,0,5,3,5,5,2,0,0,3,5,5,0
4,2,3,1,5,3,4,2,4,0,1,4,4,5,2,5,5,1,0,4,5,4,0,0,4,0,2,0,1,1,3,3,5,4,3,5,5,5,3,5,5,2,4,1,4,4,3,2,5,2,5,4,1,0,5,2,1,4,2,2,0,1,5,3,0,4,2,3,5,5,3,3,3,3,0,5,1,2,5,5,1,4,4,4,5,4,2,4,5,3,5,0,0,1,3,4,4,1,3,2
5,2,3,1,4,1,3,1,5,4,2,5,3,1,1,1,1,2,3,4,5,1,5,4,0,4,4,2,3,0,4,4,4,0,3,4,3,0,4,0,0,5,5,0,3,5,3,4,3,5,0,4,5,5,5,1,4,3,5,2,5,5,2,0,5,3,1,1,3,2,3,2,3,5,2,4,2,4,3,1,5,4,0,4,1,2,0,5,0,0,4,1,5,0,1,1,2,1,0,2
3,3,2,1,2,3,5,0,2,4,5,1,0,1,2,4,5,4,5,5,5,0,3,4,3,4,0,5,4,0,5,1,0,4,5,2,0,2,1,5,3,2,5,0,4,2,3,4,0,1,5,5,4,2,4,3,0,3,1,4,4,2,5,0,1,0,2,1,3,2,5,4,5,0,5,2,2,2,0,0,3,3,0,4,5,4,5,4,0,5,0,3,5,0,4,4,5,1,5,4
3,4,1,1,3,2,2,5,4,4,3,1,1,4,3,1,0,3,2,3,2,4,1,2,0,3,0,1,4,4,2,2,5,0,3,4,1,2,2,2,5,2,5,0,2,2,0,0,5,5,2,2,1,0,4,0,5,4,1,1,3,0,3,3,0,1,1,0,3,0,2,2,0,2,3,5,3,4,1,2,1,2,2,4,0,1,0,2,3,5,4,3,4,5,4,4,1,0,5,2
3,5,5,4,2,1,4,2,3,4,3,0,3,0,0,3,0,1,0,1,1,4,4,3,5,4,0,1,0,4,3,0,5,1,4,3,4,4,5,0,2,1,3,0,4,2,1,2,5,0,0,1,5,2,2,1,3,3,1,0,1,3,1,5,5,0,3,5,4,5,0,5,5,2,5,3,5,3,4,4,1,3,0,0,5,1,4,2,0,0,1,3,4,5,1,3,2,1,3,2
1,4,4,1,0,0,2,4,0,5,3,5,4,0,3,2,4,4,2,3,2,3,2,3,5,1,3,4,5,0,1,3,5,0,2,0,4,3,2,4,5,2,5,5,0,3,0,2,2,0,2,4,1,3,4,0,3,5,0,4,1,3,0,1,4,2,5,3,4,0,3,2,5,3,4,1,1,0,4,3,2,3,1,4,2,1,2,1,0,2,4,4,4,4,5,3,2,1,1,0
1,5,4,3,1,1,3,1,0,5,4,4,5,0,5,2,4,3,1,5,4,0,5,3,0,4,1,1,2,5,0,2,1,3,0,0,0,0,1,1,1,4,1,0,3,5,1,3,4,5,2,4,5,3,1,3,0,2,5,5,5,5,1,1,3,1,2,1,3,2,0,4,4,0,1,4,2,4,5,4,1,3,4,0,1,0,2,2,1,5,3,5,5,2,5,3,2,1,1,5
4,4,5,3,5,5,4,5,5,5,5,2,5,5,1,0,5,1,2,0,3,4,5,1,1,0,0,0,4,4,2,1,2,5,0,5,1,1,3,2,5,2,3,5,5,1,2,0,2,0,5,5,1,2,1,5,3,3,5,3,4,1,4,0,0,0,1,5,3,1,4,4,2,2,5,3,1,4,3,1,3,2,0,1,4,5,0,0,0,3,5,5,0,2,1,2,2,2,5,5
1,1,2,2,0,4,3,5,2,4,3,0,3,5,2,5,5,2,3,1,3,3,1,3,1,3,0,2,2,4,4,2,2,4,0,5,3,5,1,3,5,3,4,2,5,1,2,1,5,3,5,2,4,5,0,2,4,3,2,3,3,2,0,5,2,5,4,3,3,5,5,2,2,4,1,0,4,0,0,1,4,1,3,2,2,0,1,5,2,4,1,5,5,1,4,4,2,1,0,0
3,3,2,2,3,5,2,2,0,1,3,4,0,4,1,2,1,2,5,4,2,3,5,3,4,4,0,1,3,4,4,1,3,1,3,3,1,0,0,3,5,0,3,3,4,2,2,4,3,5,1,5,4,0,5,0,0,5,3,5,0,3,4,4,2,3,4,3,2,0,2,2,3,0,0,3,5,4,0,1,3,1,4,5,0,5,0,2,4,5,3,0,0,0,1,4,1,3,2,0
4,3,1,5,1,0,4,1,1,4,0,1,3,4,4,1,4,4,4,1,5,3,5,5,0,2,3,3,3,1,3,4,2,3,4,3,5,0,3,4,0,4,2,3,1,5,0,4,4,5,2,3,4,5,5,2,1,3,0,0,0,4,4,5,0,3,3,1,2,0,5,1,4,4,4,1,4,1,4,3,5,4,3,0,0,3,0,5,5,2,1,0,3,1,4,0,3,5,4,0
0,3,1,5,0,3,5,2,2,4,4,3,4,0,0,0,1,3,3,5,3,3,5,4,5,3,5,0,5,0,0,0,1,1,2,3,5,5,1,4,0,3,4,1,1,3,5,0,4,1,3,4,4,0,5,3,0,1,1,2,5,0,0,2,0,1,3,2,3,1,2,0,5,3,4,5,1,1,4,4,2,2,5,3,1,2,3,1,0,3,1,2,2,5,0,4,1,0,1,0
3,4,3,2,0,0,3,4,3,2,5,0,5,1,0,3,5,0,3,5,4,0,5,4,3,5,4,4,0,3,1,1,4,5,3,4,4,4,5,4,4,1,2,3,2,5,2,5,1,4,3,0,2,1,1,1,5,1,5,4,5,5,0,2,0,3,4,0,0,0,0,3,3,3,4,5,2,2,4,0,1,0,5,4,1,0,2,1,1,0,4,0,2,2,5,2,1,5,2,2
3,2,3,3,4,3,1,0,3,4,1,0,0,5,1,5,5,4,4,2,4,0,5,4,5,0,2,1,1,5,1,1,3,1,2,4,2,1,0,2,2,0,3,3,4,3,4,3,3,5,0,4,0,5,5,0,2,1,3,1,3,2,3,3,3,1,0,1,2,1,1,1,4,3,5,3,0,2,3,2,4,1,2,2,2,2,3,3,0,0,3,1,5,1,2,1,2,0,0,5
2,4,5,1,0,2,5,5,2,0,0,3,0,2,3,2,4,2,4,0,0,0,3,3,1,1,5,2,5,3,0,0,3,1,0,5,4,4,3,2,2,0,0,0,0,0,2,1,0,0,0,2,3,3,3,1,5,2,1,1,4,2,5,5,3,2,3,4,0,5,4,2,1,2,4,3,0,5,5,2,0,4,2,4,3,5,3,1,4,4,5,3,5,3,4,2,5,1,0,4
1,1,1,2,2,5,0,5,0,2,3,3,5,5,0,3,4,2,3,4,3,2,4,0,5,4,4,5,1,3,4,1,0,3,0,1,0,0,5,3,0,1,0,0,3,4,0,1,5,5,0,4,5,4,4,2,1,1,4,4,2,3,1,5,1,4,2,4,3,3,1,5,3,4,4,1,4,5,5,1,3,2,2,1,3,2,1,1,4,3,5,4,5,4,5,1,5,3,3,3
5,4,1,3,1,3,3,0,1,5,0,4,3,4,1,3,1,2,1,1,3,2,2,2,1,3,3,0,1,5,3,4,1,0,3,5,1,0,1,3,3,1,1,2,2,3,2,5,1,3,2,0,0,4,2,3,5,2,4,4,0,5,2,2,2,2,5,0,5,2,5,3,0,5,3,4,4,0,2,5,2,3,5,5,3,3,3,5,1,3,4,4,4,5,3,1,0,2,3,1
4,0,0,0,2,3,5,3,4,1,1,5,2,1,3,3,5,2,2,3,0,1,0,4,2,5,0,5,5,2,3,2,3,1,0,3,1,2,4,0,0,1,3,2,4,3,0,3,3,3,1,2,2,4,1,3,0,2,2,3,5,5,0,3,4,2,1,0,5,2,5,0,2,3,4,0,0,3,4,0,5,2,1,4,1,5,5,3,2,0,4,3,0,4,0,3,4,1,4,3
4,5,2,1,0,5,5,1,0,3,5,4,1,0,3,4,5,5,4,4,2,0,2,3,5,0,0,4,4,2,5,1,4,2,3,2,2,2,2,1,5,4,3,5,2,5,0,2,3,3,2,1,2,0,5,2,2,5,1,1,1,5,2,2,4,2,5,1,5,2,2,3,1,5,5,3,5,0,5,5,4,4,1,4,3,0,3,5,2,0,1,1,0,1,0,1,3,5,0,3
5,1,0,2,0,1,1,2,5,5,1,3,1,1,3,4,3,1,0,0,0,4,3,4,0,1,2,5,2,4,1,5,0,5,3,2,1,5,1,1,5,3,2,2,3,3,2,0,3,0,3,5,3,4,2,1,3,3,3,1,3,5,3,2,2,3,3,1,5,5,3,4,2,5,0,4,0,2,4,2,1,5,1,4,3,4,1,5,3,1,0,2,1,1,1,0,2,1,4,3
5,0,2,2,4,3,4,0,1,2,5,1,2,4,4,3,4,0,4,5,3,4,5,1,1,5,2,2,2,2,0,3,5,2,5,0,5,0,3,4,1,1,3,5,4,2,3,2,1,1,1,3,1,2,0,3,5,1,3,0,5,4,1,3,2,1,5,3,0,0,5,1,2,5,5,2,3,1,2,2,5,2,5,2,2,1,3,1,4,4,5,5,1,0,2,0,0,4,1,4
4,2,3,4,4,2,5,3,0,3,3,4,1,1,0,1,0,5,3,0,1,5,2,3,1,4,1,1,2,1,4,4,3,0,1,0,0,0,4,1,5,2,3,1,3,0,2,1,3,4,4,4,2,1,0,0,3,4,5,1,1,5,1,2,5,4,3,2,3,2,1,1,2,2,2,2,4,3,3,0,1,5,0,2,3,5,3,4,4,2,5,2,0,5,0,4,4,3,5,5
1,1,0,5,5,2,4,1,1,5,4,2,3,4,3,5,4,4,0,4,1,2,1,3,3,3,2,1,5,0,0,0,3,3,0,5,4,2,3,3,5,4,4,0,2,4,5,2,2,1,4,5,4,1,2,5,5,3,5,4,4,0,1,4,5,4,4,2,1,4,2,5,2,1,1,0,4,5,0,1,2,4,1,0,4,2,2,5,4,1,5,5,2,3,4,0,5,1,5,2
0,1,2,3,1,2,2,4,4,2,0,5,1,3,4,1,1,0,4,4,4,5,3,1,0,0,2,5,5,1,3,4,1,3,2,0,0,1,0,5,4,3,0,0,0,3,4,5,5,0,0,3,3,3,1,3,1,3,5,2,5,3,2,4,3,3,0,2,1,2,2,4,0,1,4,3,4,2,1,1,1,1,1,2,3,2,3,3,1,4,4,1,1,4,2,5,1,2,1,3
4,5,0,3,5,5,5,5,0,1,2,5,4,5,0,5,2,4,0,3,1,2,5,5,1,4,5,3,3,1,1,2,3,0,2,2,5,3,0,5,0,3,1,1,5,2,2,4,3,2,4,0,5,3,4,3,1,5,3,4,2,0,3,2,1,5,2,5,2,4,4,1,4,5,0,4,3,2,3,0,5,2,3,2,3,1,4,2,2,3,5,2,5,4,0,3,0,4,1,5
2,4,5,3,3,1,4,3,5,2,0,4,4,0,5,3,3,5,3,3,2,5,0,0,4,5,1,0,5,0,0,5,1,0,1,5,5,3,1,5,5,1,4,5,1,1,5,2,3,3,2,3,2,4,5,4,2,1,2,1,1,2,1,0,1,2,1,5,1,1,3,4,0,4,2,2,3,4,5,3,5,1,5,5,1,2,0,3,5,1,0,4,3,0,5,1,4,1,1,4
4,0,1,3,0,1,0,5,5,3,1,2,4,3,4,4,2,1,1,3,1,3,1,3,4,5,2,5,0,5,0,5,4,3,2,1,4,1,1,0,1,2,3,4,5,1,5,1,2,2,4,4,5,2,3,4,1,2,2,3,3,2,3,0,4,0,5,0,2,4,2,2,3,4,1,1,4,3,3,0,0,0,3,5,2,5,3,1,2,4,1,5,5,2,2,3,3,1,3,1
0,2,3,0,5,3,4,0,3,3,0,3,4,3,5,4,5,3,2,2,1,4,0,0,0,3,1,5,3,0,5,5,3,4,2,1,3,1,3,2,5,0,2,0,3,5,0,4,3,0,0,1,4,0,5,0,1,3,4,4,0,1,4,1,2,2,5,0,3,3,1,0,2,4,0,0,2,2,3,4,5,5,5,3,1,3,2,4,5,1,3,0,4,5,0,3,1,1,2,5
4,5,4,3,2,4,3,0,3,0,0,2,3,5,1,4,4,4,4,3,1,5,5,5,3,0,0,5,4,5,4,1,2,1,2,1,1,0,3,1,1,5,2,5,0,5,1,5,2,2,2,3,2,0,0,1,4,5,3,5,1,1,1,4,0,1,0,4,2,2,4,2,5,2,0,3,2,4,1,1,1,4,2,2,0,2,4,1,3,4,0,4,4,2,3,0,1,0,0,4
5,5,1,0,2,0,0,1,3,0,3,2,4,2,4,5,5,5,2,4,2,2,0,3,1,4,0,2,5,1,5,3,3,2,5,3,2,1,3,1,2,3,2,3,3,4,5,3,3,3,5,1,2,4,1,4,4,4,2,0,0,3,3,4,3,1,4,1,0,1,1,4,1,0,5,5,1,5,2,3,5,3,4,3,2,3,1,3,1,0,1,3,0,2,4,2,3,4,2,2
2,5,1,1,2,2,1,4,2,1,3,5,0,1,2,3,5,5,5,1,2,5,1,2,4,1,2,2,4,0,5,1,2,0,3,3,5,5,4,5,0,4,1,2,0,2,3,4,5,4,3,2,4,5,1,3,0,3,5,1,5,3,0,2,0,1,3,5,5,5,3,4,5,3,0,0,1,2,5,3,2,2,3,2,0,5,4,1,0,3,5,1,0,4,5,3,1,0,5,5
5,0,1,3,5,5,4,1,4,2,3,1,5,0,4,1,5,3,4,5,1,1,4,0,3,2,4,0,4,4,3,1,2,5,2,0,5,2,0,1,3,0,4,0,4,3,0,5,2,5,3,3,5,1,5,0,4,3,0,1,3,1,4,3,0,1,1,2,3,3,3,2,1,4,5,0,5,5,4,2,5,4,4,0,1,3,0,4,0,1,2,0,0,4,2,4,3,3,3,4
5,4,1,4,0,5,1,1,2,0,4,4,5,2,4,4,0,4,5,1,0,3,1,0,2,3,0,0,3,3,4,3,2,1,5,0,0,0,1,3,2,2,5,4,5,4,5,5,4,5,1,5,2,4,3,5,5,2,2,1,0,5,3,4,3,2,1,1,0,4,0,1,2,5,2,0,4,0,1,3,4,3,3,3,2,4,0,2,2,1,3,4,1,0,1,4,2,2,2,3
3,3,5,4,2,4,5,5,1,0,1,2,5,0,3,4,3,4,1,4,1,0,5,5,3,1,0,0,3,5,2,0,5,0,3,4,4,4,2,3,4,3,2,2,5,3,3,3,1,1,0,0,5,5,4,0,3,0,0,1,3,5,5,5,5,5,5,0,2,1,3,5,4,4,5,4,1,3,4,1,3,1,3,0,0,2,3,5,0,5,5,1,0,0,0,0,2,5,4,1
3,2,3,2,5,1,0,0,3,2,5,0,5,2,0,0,4,0,0,4,4,5,1,3,5,4,0,5,5,5,1,4,2,5,5,1,2,4,1,3,0,1,4,0,4,2,4,3,5,4,1,1,0,2,1,2,0,3,0,3,1,1,5,5,4,5,3,4,1,4,4,4,0,1,3,0,5,2,0,0,5,2,2,5,0,3,3,2,4,3,1,3,1,0,5,3,0,5,5,1
1,5,1,0,1,3,4,2,0,4,4,4,0,3,4,5,5,0,1,5,5,0,4,0,4,4,1,2,5,1,5,1,0,3,4,4,0,2,2,0,4,1,2,5,3,3,4,5,0,1,0,5,1,5,0,0,4,1,1,4,2,1,5,2,0,0,4,4,1,4,4,0,3,4,0,4,2,5,4,3,2,0,5,0,2,4,2,1,0,5,0,1,4,1,3,1,0,2,3,3
0,1,5,0,4,2,5,1,5,5,1,4,0,3,4,0,1,3,1,3,5,1,2,0,1,4,5,0,0,2,1,0,2,4,5,0,5,1,3,1,5,5,5,5,3,4,5,4,5,1,1,4,2,3,1,2,1,1,4,1,0,2,0,0,4,3,2,1,5,3,5,4,4,5,4,0,0,3,5,1,2,1,3,1,2,1,4,3,1,5,1,3,1,5,4,5,4,0,0,0
3,2,2,4,5,1,1,4,0,4,5,4,3,3,4,4,1,1,1,3,1,4,4,2,2,5,2,3,2,1,1,5,5,5,2,3,0,5,0,5,0,5,1,3,4,0,2,3,1,0,3,5,3,2,0,3,4,5,3,1,2,0,5,2,0,1,0,3,3,0,2,5,3,0,2,4,2,1,3,4,1,1,3,3,1,0,4,0,0,3,0,2,2,4,1,3,5,3,4,0
0,3,5,1,4,3,1,5,5,5,3,5,0,0,4,1,1,3,1,0,3,5,2,3,4,1,2,5,0,1,4,1,2,5,3,1,5,5,1,3,3,3,1,2,4,5,4,5,2,5,2,2,5,0,3,0,2,1,1,0,5,1,5,4,3,2,0,1,3,0,1,3,1,1,1,0,5,0,2,0,1,3,2,5,5,3,1,2,4,5,0,2,2,5,0,1,1,3,5,2
5,2,5,2,3,5,1,1,5,1,3,0,2,5,5,5,2,1,5,3,0,5,1,2,5,2,4,3,3,1,0,2,0,5,4,5,0,1,1,1,0,3,4,0,2,4,4,3,1,4,1,1,3,0,0,2,1,5,3,3,2,5,2,0,0,5,0,2,5,4,4,5,0,2,4,2,4,2,3,3,4,0,2,5,4,2,0,1,1,0,4,0,0,4,2,0,5,4,1,1
3,2,4,3,5,5,5,2,0,4,2,5,3,1,0,5,5,3,0,3,2,4,4,3,4,5,3,4,5,1,3,2,4,2,3,5,3,3,2,3,0,3,3,2,4,3,1,2,5,5,3,4,4,1,3,5,0,0,0,2,0,1,4,5,5,2,1,0,1,0,0,2,3,4,1,2,5,4,1,3,1,5,4,0,3,5,5,1,5,4,1,2,0,4,3,4,0,0,4,4
3,0,5,2,0,0,0,4,0,0,4,5,0,5,0,4,1,5,4,0,4,2,1,5,0,1,1,3,2,1,3,1,5,3,4,5,0,5,0,5,5,1,5,3,5,0,2,2,0,5,0,3,2,1,4,4,4,1,0,3,5,0,3,3,2,4,3,2,1,3,3,0,4,1,1,0,1,0,3,3,4,4,2,0,5,3,2,1,3,1,4,2,1,1,4,3,1,4,1,4
5,4,1,2,0,4,2,5,5,5,5,3,4,1,4,0,1,4,2,3,3,3,1,4,1,1,3,0,0,1,1,5,3,5,4,0,3,1,3,3,1,3,2,3,0,5,0,3,2,3,0,2,2,5,1,2,4,4,1,2,4,1,5,1,2,5,4,2,0,2,2,0,2,0,3,2,5,2,5,2,1,0,3,3,4,0,3,4,5,0,5,2,3,2,2,2,0,2,0,2
0,5,1,2,3,3,3,1,1,4,2,1,3,5,4,2,0,0,5,3,4,2,3,4,4,5,5,4,1,5,3,0,4,4,2,0,4,3,0,1,2,5,1,0,4,4,5,0,1,3,5,2,4,0,3,0,4,3,1,0,5,0,4,0,2,4,2,3,0,1,4,2,0,3,1,2,5,5,5,5,1,0,1,1,1,5,0,5,5,5,5,3,3,3,0,1,1,1,3,3
3,0,3,4,5,2,0,0,0,2,3,2,1,1,1,1,3,4,3,2,2,1,5,5,5,3,4,5,0,0,2,0,1,2,1,1,3,1,2,1,5,0,1,2,4,2,4,5,1,2,3,5,0,5,4,3,0,1,3,4,1,4,0,2,0,4,2,3,1,5,0,1,1,1,1,5,4,3,2,4,2,5,5,0,0,1,2,0,5,2,0,0,0,4,0,4,4,2,5,1
4,3,3,0,2,2,5,4,4,0,2,4,1,1,4,4,0,3,3,5,0,0,2,1,4,5,2,0,5,1,4,1,2,5,3,1,2,1,2,1,5,4,0,1,1,4,3,0,1,5,5,1,0,0,1,3,0,0,5,3,5,3,3,0,2,1,2,2,3,3,4,4,2,1,5,1,4,0,3,2,5,1,3,0,2,4,5,0,2,5,5,5,3,3,1,0,3,0,3,4
5,1,3,3,2,3,0,4,0,3,2,1,1,4,0,0,3,5,5,5,3,0,5,3,0,2,2,3,3,3,5,2,3,2,0,2,1,0,2,3,3,0,1,4,4,5,0,1,0,4,0,5,3,0,3,3,3,5,2,3,5,1,2,4,3,1,3,5,2,3,3,3,5,0,4,5,2,3,4,1,2,1,5,3,2,0,5,1,5,2,4,4,0,2,3,0,4,4,2,1
2,1,5,4,1,5,5,1,3,5,2,2,1,1,2,1,1,4,2,4,5,1,3,1,4,5,1,1,5,3,5,0,0,2,5,1,1,0,5,4,4,3,2,2,4,1,3,2,1,4,4,4,5,5,3,3,1,0,2,3,3,4,4,5,5,1,2,5,5,3,1,4,4,4,5,1,0,0,0,4,0,5,5,5,0,3,5,0,0,4,3,4,5,0,0,4,4,2,1,2
5,0,5,5,0,1,3,5,2,1,5,3,1,3,5,2,5,0,3,2,1,0,5,1,4,0,1,4,3,5,4,3,0,2,3,4,3,0,1,4,5,3,3,5,5,3,5,0,1,2,0,4,1,0,3,5,4,0,2,1,5,0,3,2,3,4,1,4,1,4,3,1,3,5,1,0,0,0,2,4,5,4,0,0,5,0,2,4,2,5,0,4,4,2,3,4,0,4,4,5
